Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Entity ID
LE07_CU_006014_20191229_20200126_C01_V01,2019/12/29,CU,6,14,2020/01/26,0.1903,0,0.1657,93.1316,LANDSAT_7,ETM,1,WGS84,AEA,METERS,01,01,32°49'37.21"N,113°56'52.08"W,32°49'37.21"N,112°05'35.21"W,32°49'37.21"N,113°56'52.08"W,31°15'45.43"N,113°56'52.08"W,32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LE07_CU_006014_20191229_20200126_C01_V01,LE07_CU_006014_20191229_C01_V01
LE07_CU_007013_20191229_20200126_C01_V01,2019/12/29,CU,7,13,2020/01/26,3.9325,0.9081,15.5014,46.5515,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,34°22'20.95"N,112°38'44.09"W,34°22'20.95"N,110°46'20.77"W,34°22'20.95"N,112°38'44.09"W,32°49'37.21"N,112°38'44.09"W,34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LE07_CU_007013_20191229_20200126_C01_V01,LE07_CU_007013_20191229_C01_V01
LE07_CU_007014_20191229_20200126_C01_V01,2019/12/29,CU,7,14,2020/01/26,1.354,0.2221,1.7669,19.4796,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,33°02'46.45"N,112°21'53.03"W,33°02'46.45"N,110°31'34.91"W,33°02'46.45"N,112°21'53.03"W,31°30'02.38"N,112°21'53.03"W,33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.5006617653,-110.52636342,31.5006617653,-112.364731007,LE07_CU_007014_20191229_20200126_C01_V01,LE07_CU_007014_20191229_C01_V01
LC08_CU_007014_20191230_20200112_C01_V01,2019/12/30,CU,7,14,2020/01/12,89.8634,4.3248,0.3278,94.9286,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,01,01,33°02'46.45"N,112°21'53.03"W,33°02'46.45"N,110°31'34.91"W,33°02'46.45"N,112°21'53.03"W,31°30'02.38"N,112°21'53.03"W,33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.5006617653,-110.52636342,31.5006617653,-112.364731007,LC08_CU_007014_20191230_20200112_C01_V01,LC08_CU_007014_20191230_C01_V01
LC08_CU_006013_20200104_20200319_C01_V01,2020/01/04,CU,6,13,2020/03/19,0.0441,0.0101,0.0001,28.9596,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,34°08'59.72"N,114°15'16.35"W,34°08'59.72"N,112°21'53.03"W,34°08'59.72"N,114°15'16.35"W,32°35'08"N,114°15'16.35"W,34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20200104_20200319_C01_V01,LC08_CU_006013_20200104_C01_V01
LC08_CU_006014_20200104_20200319_C01_V01,2020/01/04,CU,6,14,2020/03/19,0.8819,0.08,0,72.8936,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,01,01,32°49'37.21"N,113°56'52.08"W,32°49'37.21"N,112°05'35.21"W,32°49'37.21"N,113°56'52.08"W,31°15'45.43"N,113°56'52.08"W,32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20200104_20200319_C01_V01,LC08_CU_006014_20200104_C01_V01
LE07_CU_006013_20200105_20200202_C01_V01,2020/01/05,CU,6,13,2020/02/02,2.7965,0.3311,0.0036,46.5787,LANDSAT_7,ETM,3,WGS84,AEA,METERS,01,01,34°08'59.72"N,114°15'16.35"W,34°08'59.72"N,112°21'53.03"W,34°08'59.72"N,114°15'16.35"W,32°35'08"N,114°15'16.35"W,34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LE07_CU_006013_20200105_20200202_C01_V01,LE07_CU_006013_20200105_C01_V01
LE07_CU_006014_20200105_20200202_C01_V01,2020/01/05,CU,6,14,2020/02/02,0.4353,0.0158,0.0009,19.102,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,32°49'37.21"N,113°56'52.08"W,32°49'37.21"N,112°05'35.21"W,32°49'37.21"N,113°56'52.08"W,31°15'45.43"N,113°56'52.08"W,32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LE07_CU_006014_20200105_20200202_C01_V01,LE07_CU_006014_20200105_C01_V01
LE07_CU_007013_20200105_20200202_C01_V01,2020/01/05,CU,7,13,2020/02/02,4.2669,0.5309,0.3929,46.7564,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,34°22'20.95"N,112°38'44.09"W,34°22'20.95"N,110°46'20.77"W,34°22'20.95"N,112°38'44.09"W,32°49'37.21"N,112°38'44.09"W,34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LE07_CU_007013_20200105_20200202_C01_V01,LE07_CU_007013_20200105_C01_V01
LE07_CU_007014_20200105_20200202_C01_V01,2020/01/05,CU,7,14,2020/02/02,0.0413,0.0003,0.0185,82.0263,LANDSAT_7,ETM,2,WGS84,AEA,METERS,01,01,33°02'46.45"N,112°21'53.03"W,33°02'46.45"N,110°31'34.91"W,33°02'46.45"N,112°21'53.03"W,31°30'02.38"N,112°21'53.03"W,33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.5006617653,-110.52636342,31.5006617653,-112.364731007,LE07_CU_007014_20200105_20200202_C01_V01,LE07_CU_007014_20200105_C01_V01
