,Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Entity ID
2,LC08_CU_006013_20170104_20190430_C01_V01,2017/01/04,CU,6,13,2019/04/30,0.4559,0.20600000000000002,0.0,36.0279,LANDSAT_8,OLI/TIRS,3,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20170104_20190430_C01_V01,LC08_CU_006013_20170104_C01_V01
3,LC08_CU_006014_20170104_20190430_C01_V01,2017/01/04,CU,6,14,2019/04/30,9.729,6.4113,0.0001,2.6144,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170104_20190430_C01_V01,LC08_CU_006014_20170104_C01_V01
4,LC08_CU_007013_20170104_20181204_C01_V01,2017/01/04,CU,7,13,2018/12/04,0.381,0.1051,0.1096,30.2889,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20170104_20181204_C01_V01,LC08_CU_007013_20170104_C01_V01
5,LC08_CU_007014_20170104_20190430_C01_V01,2017/01/04,CU,7,14,2019/04/30,7.817,3.8016,0.0,72.2665,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170104_20190430_C01_V01,LC08_CU_007014_20170104_C01_V01
9,LC08_CU_007014_20170106_20181128_C01_V01,2017/01/06,CU,7,14,2018/11/28,34.5459,14.9683,0.0156,93.9422,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170106_20181128_C01_V01,LC08_CU_007014_20170106_C01_V01
10,LC08_CU_006013_20170111_20190430_C01_V01,2017/01/11,CU,6,13,2019/04/30,69.3917,3.5527,0.0011,30.7627,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20170111_20190430_C01_V01,LC08_CU_006013_20170111_C01_V01
11,LC08_CU_006014_20170111_20190430_C01_V01,2017/01/11,CU,6,14,2019/04/30,75.138,6.6143,0.2341,74.7294,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170111_20190430_C01_V01,LC08_CU_006014_20170111_C01_V01
16,LC08_CU_006014_20170113_20181201_C01_V01,2017/01/13,CU,6,14,2018/12/01,100.0,0.0,0.0,92.8645,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170113_20181201_C01_V01,LC08_CU_006014_20170113_C01_V01
17,LC08_CU_007013_20170113_20181209_C01_V01,2017/01/13,CU,7,13,2018/12/09,99.4297,0.5291,0.1025,36.6469,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20170113_20181209_C01_V01,LC08_CU_007013_20170113_C01_V01
18,LC08_CU_007014_20170113_20181209_C01_V01,2017/01/13,CU,7,14,2018/12/09,90.7978,2.2266,5.7838,3.3710000000000004,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170113_20181209_C01_V01,LC08_CU_007014_20170113_C01_V01
22,LC08_CU_006013_20170120_20190430_C01_V01,2017/01/20,CU,6,13,2019/04/30,100.0,0.0,0.0,36.1547,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20170120_20190430_C01_V01,LC08_CU_006013_20170120_C01_V01
23,LC08_CU_006014_20170120_20190430_C01_V01,2017/01/20,CU,6,14,2019/04/30,93.7631,6.2369,0.0,2.6657,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170120_20190430_C01_V01,LC08_CU_006014_20170120_C01_V01
24,LC08_CU_007013_20170120_20181128_C01_V01,2017/01/20,CU,7,13,2018/11/28,100.0,0.0,0.0,30.1723,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20170120_20181128_C01_V01,LC08_CU_007013_20170120_C01_V01
25,LC08_CU_007014_20170120_20190430_C01_V01,2017/01/20,CU,7,14,2019/04/30,99.641,0.359,0.0,72.1353,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170120_20190430_C01_V01,LC08_CU_007014_20170120_C01_V01
29,LC08_CU_007014_20170122_20181128_C01_V01,2017/01/22,CU,7,14,2018/11/28,11.8411,4.8386,1.1481,94.0649,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170122_20181128_C01_V01,LC08_CU_007014_20170122_C01_V01
30,LC08_CU_006013_20170127_20190430_C01_V01,2017/01/27,CU,6,13,2019/04/30,0.0817,0.0102,0.0013,30.3215,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20170127_20190430_C01_V01,LC08_CU_006013_20170127_C01_V01
31,LC08_CU_006014_20170127_20190430_C01_V01,2017/01/27,CU,6,14,2019/04/30,1.2639,0.1129,0.0,74.2748,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170127_20190430_C01_V01,LC08_CU_006014_20170127_C01_V01
36,LC08_CU_006014_20170129_20181123_C01_V01,2017/01/29,CU,6,14,2018/11/23,0.0028,0.0,0.0,93.1199,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170129_20181123_C01_V01,LC08_CU_006014_20170129_C01_V01
37,LC08_CU_007013_20170129_20181128_C01_V01,2017/01/29,CU,7,13,2018/11/28,0.5851,0.1293,3.9829,37.0636,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20170129_20181128_C01_V01,LC08_CU_007013_20170129_C01_V01
38,LC08_CU_007014_20170129_20181128_C01_V01,2017/01/29,CU,7,14,2018/11/28,0.7127,0.154,0.163,3.5469,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170129_20181128_C01_V01,LC08_CU_007014_20170129_C01_V01
42,LC08_CU_006013_20170205_20190607_C01_V01,2017/02/05,CU,6,13,2019/06/07,5.0786,0.9771,0.0,36.9112,LANDSAT_8,OLI/TIRS,3,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20170205_20190607_C01_V01,LC08_CU_006013_20170205_C01_V01
43,LC08_CU_006014_20170205_20190607_C01_V01,2017/02/05,CU,6,14,2019/06/07,7.7079,0.7775,0.0,2.9394,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170205_20190607_C01_V01,LC08_CU_006014_20170205_C01_V01
44,LC08_CU_007013_20170205_20181201_C01_V01,2017/02/05,CU,7,13,2018/12/01,0.2423,0.0633,0.3115,29.4327,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20170205_20181201_C01_V01,LC08_CU_007013_20170205_C01_V01
45,LC08_CU_007014_20170205_20190607_C01_V01,2017/02/05,CU,7,14,2019/06/07,0.0182,0.0076,0.0,71.3856,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170205_20190607_C01_V01,LC08_CU_007014_20170205_C01_V01
49,LC08_CU_007014_20170207_20181201_C01_V01,2017/02/07,CU,7,14,2018/12/01,0.6694,0.1499,0.0448,94.5135,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170207_20181201_C01_V01,LC08_CU_007014_20170207_C01_V01
50,LC08_CU_006013_20170212_20190430_C01_V01,2017/02/12,CU,6,13,2019/04/30,98.1629,1.2646,0.0777,30.1013,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20170212_20190430_C01_V01,LC08_CU_006013_20170212_C01_V01
51,LC08_CU_006014_20170212_20190430_C01_V01,2017/02/12,CU,6,14,2019/04/30,93.9187,3.1697,0.0975,74.0388,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170212_20190430_C01_V01,LC08_CU_006014_20170212_C01_V01
56,LC08_CU_006014_20170214_20181123_C01_V01,2017/02/14,CU,6,14,2018/11/23,51.1444,17.7908,0.006999999999999999,93.1731,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170214_20181123_C01_V01,LC08_CU_006014_20170214_C01_V01
57,LC08_CU_007013_20170214_20181201_C01_V01,2017/02/14,CU,7,13,2018/12/01,61.8783,2.7089999999999996,0.0249,37.1366,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20170214_20181201_C01_V01,LC08_CU_007013_20170214_C01_V01
58,LC08_CU_007014_20170214_20181201_C01_V01,2017/02/14,CU,7,14,2018/12/01,69.66199999999999,5.7367,0.0104,3.5815,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170214_20181201_C01_V01,LC08_CU_007014_20170214_C01_V01
62,LC08_CU_006013_20170221_20190430_C01_V01,2017/02/21,CU,6,13,2019/04/30,0.1892,0.0075,0.0,36.4169,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20170221_20190430_C01_V01,LC08_CU_006013_20170221_C01_V01
63,LC08_CU_006014_20170221_20190430_C01_V01,2017/02/21,CU,6,14,2019/04/30,0.1764,0.0065,0.0,2.7583,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170221_20190430_C01_V01,LC08_CU_006014_20170221_C01_V01
64,LC08_CU_007013_20170221_20181211_C01_V01,2017/02/21,CU,7,13,2018/12/11,0.2135,0.0419,0.0722,29.9279,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20170221_20181211_C01_V01,LC08_CU_007013_20170221_C01_V01
65,LC08_CU_007014_20170221_20190430_C01_V01,2017/02/21,CU,7,14,2019/04/30,0.0072,0.0031,0.0,71.8829,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170221_20190430_C01_V01,LC08_CU_007014_20170221_C01_V01
69,LC08_CU_007014_20170223_20181127_C01_V01,2017/02/23,CU,7,14,2018/11/27,0.2926,0.0741,0.0083,94.1437,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170223_20181127_C01_V01,LC08_CU_007014_20170223_C01_V01
70,LC08_CU_006013_20170228_20190430_C01_V01,2017/02/28,CU,6,13,2019/04/30,15.7414,6.8941,0.0002,30.6725,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20170228_20190430_C01_V01,LC08_CU_006013_20170228_C01_V01
71,LC08_CU_006014_20170228_20190430_C01_V01,2017/02/28,CU,6,14,2019/04/30,14.1476,5.7917,0.0001,74.6122,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170228_20190430_C01_V01,LC08_CU_006014_20170228_C01_V01
76,LC08_CU_006014_20170302_20181127_C01_V01,2017/03/02,CU,6,14,2018/11/27,0.0028,0.0,0.0,92.8933,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170302_20181127_C01_V01,LC08_CU_006014_20170302_C01_V01
77,LC08_CU_007013_20170302_20181201_C01_V01,2017/03/02,CU,7,13,2018/12/01,0.4519,0.0917,0.3522,36.6614,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20170302_20181201_C01_V01,LC08_CU_007013_20170302_C01_V01
78,LC08_CU_007014_20170302_20181201_C01_V01,2017/03/02,CU,7,14,2018/12/01,0.2461,0.068,0.0101,3.3849,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170302_20181201_C01_V01,LC08_CU_007014_20170302_C01_V01
81,LC08_CU_006013_20170309_20190430_C01_V01,2017/03/09,CU,6,13,2019/04/30,0.08,0.0136,0.0,36.2837,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20170309_20190430_C01_V01,LC08_CU_006013_20170309_C01_V01
82,LC08_CU_006014_20170309_20190430_C01_V01,2017/03/09,CU,6,14,2019/04/30,0.3428,0.0594,0.0,2.7123,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170309_20190430_C01_V01,LC08_CU_006014_20170309_C01_V01
83,LC08_CU_007013_20170309_20181201_C01_V01,2017/03/09,CU,7,13,2018/12/01,0.1768,0.0437,0.0015,30.0716,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20170309_20181201_C01_V01,LC08_CU_007013_20170309_C01_V01
84,LC08_CU_007014_20170309_20190430_C01_V01,2017/03/09,CU,7,14,2019/04/30,0.0105,0.0051,0.0,72.0219,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170309_20190430_C01_V01,LC08_CU_007014_20170309_C01_V01
88,LC08_CU_007014_20170311_20181127_C01_V01,2017/03/11,CU,7,14,2018/11/27,0.0884,0.0487,0.0,94.1071,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20170311_20181127_C01_V01,LC08_CU_007014_20170311_C01_V01
89,LC08_CU_006013_20170316_20190430_C01_V01,2017/03/16,CU,6,13,2019/04/30,0.0032,0.0009,0.0,30.4079,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20170316_20190430_C01_V01,LC08_CU_006013_20170316_C01_V01
90,LC08_CU_006014_20170316_20190430_C01_V01,2017/03/16,CU,6,14,2019/04/30,0.5065,0.0978,0.0,74.3383,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170316_20190430_C01_V01,LC08_CU_006014_20170316_C01_V01
91,LC08_CU_006014_20170318_20181127_C01_V01,2017/03/18,CU,6,14,2018/11/27,0.0,0.0,0.0,93.1202,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20170318_20181127_C01_V01,LC08_CU_006014_20170318_C01_V01
