,Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Entity ID
786,LC08_CU_007013_20180929_20190614_C01_V01,2018/09/29,CU,7,13,2019/06/14,1.7352,0.6018,0.0,38.0663,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20180929_20190614_C01_V01,LC08_CU_007013_20180929_C01_V01
787,LC08_CU_007014_20180929_20190614_C01_V01,2018/09/29,CU,7,14,2019/06/14,0.0403,0.0381,0.0,3.9695,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20180929_20190614_C01_V01,LC08_CU_007014_20180929_C01_V01
791,LC08_CU_006013_20181006_20190614_C01_V01,2018/10/06,CU,6,13,2019/06/14,39.781,7.0227,0.0,37.1483,LANDSAT_8,OLI/TIRS,3,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20181006_20190614_C01_V01,LC08_CU_006013_20181006_C01_V01
792,LC08_CU_006014_20181006_20190614_C01_V01,2018/10/06,CU,6,14,2019/06/14,10.6858,2.5033,0.0001,3.0157,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20181006_20190614_C01_V01,LC08_CU_006014_20181006_C01_V01
793,LC08_CU_007013_20181006_20190614_C01_V01,2018/10/06,CU,7,13,2019/06/14,25.2417,6.1479,0.0,29.1524,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°22'20.95""N","112°38'44.09""W","34°22'20.95""N","110°46'20.77""W","34°22'20.95""N","112°38'44.09""W","32°49'37.21""N","112°38'44.09""W",34.3724856261,-112.64557985,34.3724856261,-110.772436306,32.82700187,-110.772436306,32.82700187,-112.64557985,LC08_CU_007013_20181006_20190614_C01_V01,LC08_CU_007013_20181006_C01_V01
794,LC08_CU_007014_20181006_20190614_C01_V01,2018/10/06,CU,7,14,2019/06/14,11.9524,3.7342,0.0,71.1532,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20181006_20190614_C01_V01,LC08_CU_007014_20181006_C01_V01
798,LC08_CU_007014_20181008_20190614_C01_V01,2018/10/08,CU,7,14,2019/06/14,18.768,7.5571,0.0001,94.5,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"33°02'46.45""N","112°21'53.03""W","33°02'46.45""N","110°31'34.91""W","33°02'46.45""N","112°21'53.03""W","31°30'02.38""N","112°21'53.03""W",33.0462349501,-112.364731007,33.0462349501,-110.52636342,31.500661765300002,-110.52636342,31.500661765300002,-112.364731007,LC08_CU_007014_20181008_20190614_C01_V01,LC08_CU_007014_20181008_C01_V01
799,LC08_CU_006013_20181013_20190614_C01_V01,2018/10/13,CU,6,13,2019/06/14,83.2812,3.3207,0.1265,30.0097,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"34°08'59.72""N","114°15'16.35""W","34°08'59.72""N","112°21'53.03""W","34°08'59.72""N","114°15'16.35""W","32°35'08""N","114°15'16.35""W",34.149922728,-114.254542145,34.149922728,-112.364731007,32.5855562323,-112.364731007,32.5855562323,-114.254542145,LC08_CU_006013_20181013_20190614_C01_V01,LC08_CU_006013_20181013_C01_V01
800,LC08_CU_006014_20181013_20190614_C01_V01,2018/10/13,CU,6,14,2019/06/14,76.1245,7.0813,0.2483,74.0041,LANDSAT_8,OLI/TIRS,2,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20181013_20190614_C01_V01,LC08_CU_006014_20181013_C01_V01
805,LC08_CU_006014_20181015_20190614_C01_V01,2018/10/15,CU,6,14,2019/06/14,8.0853,3.1651,0.0,93.1774,LANDSAT_8,OLI/TIRS,1,WGS84,AEA,METERS,1,1,"32°49'37.21""N","113°56'52.08""W","32°49'37.21""N","112°05'35.21""W","32°49'37.21""N","113°56'52.08""W","31°15'45.43""N","113°56'52.08""W",32.82700187,-113.947800128,32.82700187,-112.093112741,31.2626188144,-112.093112741,31.2626188144,-113.947800128,LC08_CU_006014_20181015_20190614_C01_V01,LC08_CU_006014_20181015_C01_V01
